id_snapshot,data_hora,fixture_id,jogo,minuto,bucket_5min,placar,nivel,time_destaque,indice_destaque,diferenca,momento_destaque,posse_destaque,vantagem_corners,status_monitoramento,data_hora_finalizacao,placar_final,placar_final_origem,qualidade_dados,cobertura_dados,campos_faltantes,eventos_disponiveis
19722811-18,2026-08-22 14:17:17,19722811,Dundee United x Dundee,90,18,0 x 0,BAIXA,Dundee,50.2,0.4,50.0,23.0,1.0,FINALIZADO,2026-08-22 22:24:27,0 x 2,MANUAL,,,,
19713986-0,2026-08-23 10:03:18,19713986,Sønderjyske Fodbold x Nordsjælland,3,0,0 x 0,BAIXA,Sønderjyske Fodbold,50.0,0.0,50.0,50.0,0.0,FINALIZADO,2026-08-23 12:20:29,0 x 3,ULTIMO_OBSERVADO,,,,
19713986-3,2026-08-23 10:18:28,19713986,Sønderjyske Fodbold x Nordsjælland,18,3,0 x 0,BAIXA,Nordsjælland,63.7,27.4,50.0,67.0,1.0,FINALIZADO,2026-08-23 12:20:29,0 x 3,ULTIMO_OBSERVADO,,,,
19713986-6,2026-08-23 10:36:34,19713986,Sønderjyske Fodbold x Nordsjælland,33,6,0 x 0,BAIXA,Sønderjyske Fodbold,53.1,6.2,50.0,35.0,1.0,FINALIZADO,2026-08-23 12:20:29,0 x 3,ULTIMO_OBSERVADO,,,,
19713986-9,2026-08-23 11:06:40,19713986,Sønderjyske Fodbold x Nordsjælland,46,9,0 x 1,ALTA,Nordsjælland,64.3,28.6,100.0,67.0,-1.0,FINALIZADO,2026-08-23 12:20:29,0 x 3,ULTIMO_OBSERVADO,,,,
19713986-14,2026-08-23 11:35:08,19713986,Sønderjyske Fodbold x Nordsjælland,74,14,0 x 2,MODERADA,Sønderjyske Fodbold,61.6,23.2,100.0,36.0,-1.0,FINALIZADO,2026-08-23 12:20:29,0 x 3,ULTIMO_OBSERVADO,,,,
19713986-17,2026-08-23 12:02:48,19713986,Sønderjyske Fodbold x Nordsjælland,87,17,0 x 3,MODERADA,Nordsjælland,60.3,20.6,90.0,62.0,-2.0,FINALIZADO,2026-08-23 12:20:29,0 x 3,ULTIMO_OBSERVADO,,,,
19713984-0,2026-08-23 12:02:49,19713984,FC Midtjylland x Randers FC,2,0,0 x 0,BAIXA,FC Midtjylland,50.0,0.0,50.0,50.0,0.0,FINALIZADO,2026-08-23 14:34:31,1 x 0,ULTIMO_OBSERVADO,,,,
19713988-0,2026-08-23 12:02:50,19713988,AGF x Odense BK,2,0,0 x 0,BAIXA,Odense BK,56.2,12.4,50.0,78.0,0.0,FINALIZADO,2026-08-23 14:34:31,2 x 2,ULTIMO_OBSERVADO,,,,
19713984-4,2026-08-23 12:20:42,19713984,FC Midtjylland x Randers FC,20,4,0 x 0,BAIXA,FC Midtjylland,57.7,15.4,50.0,56.0,0.0,FINALIZADO,2026-08-23 14:34:31,1 x 0,ULTIMO_OBSERVADO,,,,
19713988-4,2026-08-23 12:20:43,19713988,AGF x Odense BK,20,4,0 x 0,BAIXA,AGF,62.7,25.4,50.0,63.0,3.0,FINALIZADO,2026-08-23 14:34:31,2 x 2,ULTIMO_OBSERVADO,,,,
19713984-5,2026-08-23 12:43:15,19713984,FC Midtjylland x Randers FC,28,5,1 x 0,ALTA,FC Midtjylland,74.7,49.4,100.0,61.0,2.0,FINALIZADO,2026-08-23 14:34:31,1 x 0,ULTIMO_OBSERVADO,,,,
19713988-8,2026-08-23 12:43:14,19713988,AGF x Odense BK,42,8,1 x 2,BAIXA,Odense BK,51.4,2.8,100.0,37.0,-4.0,FINALIZADO,2026-08-23 14:34:31,2 x 2,ULTIMO_OBSERVADO,,,,
19713988-9,2026-08-23 13:07:52,19713988,AGF x Odense BK,46,9,1 x 2,BAIXA,AGF,53.1,6.2,11.1,68.0,5.0,FINALIZADO,2026-08-23 14:34:31,2 x 2,ULTIMO_OBSERVADO,,,,
19713984-8,2026-08-23 13:07:53,19713984,FC Midtjylland x Randers FC,40,8,1 x 0,BAIXA,FC Midtjylland,57.6,15.2,50.0,58.0,1.0,FINALIZADO,2026-08-23 14:34:31,1 x 0,ULTIMO_OBSERVADO,,,,
19713988-11,2026-08-23 13:24:34,19713988,AGF x Odense BK,55,11,1 x 2,ALTA,AGF,79.8,59.6,100.0,69.0,7.0,FINALIZADO,2026-08-23 14:34:31,2 x 2,ULTIMO_OBSERVADO,,,,
19713984-12,2026-08-23 13:24:35,19713984,FC Midtjylland x Randers FC,60,12,1 x 0,ALTA,FC Midtjylland,73.2,46.4,100.0,59.0,3.0,FINALIZADO,2026-08-23 14:34:31,1 x 0,ULTIMO_OBSERVADO,,,,
19713988-15,2026-08-23 13:39:36,19713988,AGF x Odense BK,76,15,2 x 2,ALTA,AGF,80.5,61.0,100.0,70.0,9.0,FINALIZADO,2026-08-23 14:34:31,2 x 2,ULTIMO_OBSERVADO,,,,
19713984-15,2026-08-23 13:39:37,19713984,FC Midtjylland x Randers FC,75,15,1 x 0,BAIXA,FC Midtjylland,58.9,17.8,50.0,61.0,5.0,FINALIZADO,2026-08-23 14:34:31,1 x 0,ULTIMO_OBSERVADO,,,,
19713982-0,2026-08-23 14:03:17,19713982,Horsens x Lyngby Boldklub,3,0,0 x 0,BAIXA,Horsens,53.8,7.6,50.0,67.0,0.0,FINALIZADO,2026-08-23 16:19:01,2 x 1,ULTIMO_OBSERVADO,,,,
19713988-18,2026-08-23 14:03:18,19713988,AGF x Odense BK,90,18,2 x 2,BAIXA,AGF,66.0,32.0,50.0,71.0,15.0,FINALIZADO,2026-08-23 14:34:31,2 x 2,ULTIMO_OBSERVADO,,,,
19713984-16,2026-08-23 14:03:19,19713984,FC Midtjylland x Randers FC,84,16,1 x 0,BAIXA,FC Midtjylland,57.6,15.2,50.0,58.0,5.0,FINALIZADO,2026-08-23 14:34:31,1 x 0,ULTIMO_OBSERVADO,,,,
